,inicio,varinicio,varfim,PT_V,id,int,real,lit,leia,escreva,literal,num,rcb,opm,se,AB_P,FC_P,entao,opr,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
0,S2,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,1,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
1,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ACC,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
2,ERRO,S4,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,3,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
3,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,ERRO,S9,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,5,6,ERRO,7,ERRO,ERRO,8,13,ERRO,ERRO
4,ERRO,ERRO7,S18,ERRO,S20,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,15,16,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
5,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,R2,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
6,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,ERRO,S9,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,26,6,ERRO,7,ERRO,ERRO,8,13,ERRO,ERRO
7,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,ERRO,S9,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,27,6,ERRO,7,ERRO,ERRO,8,13,ERRO,ERRO
8,ERRO,ERRO7,ERRO,ERRO,S12,ERRO,ERRO,ERRO,S10,S11,ERRO,ERRO,ERRO,ERRO,S14,ERRO,ERRO6,ERRO,ERRO,ERRO,S9,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,28,6,ERRO,7,ERRO,ERRO,8,13,ERRO,ERRO
9,ERRO,ERRO7,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO6,ERRO,ERRO,ERRO,ERRO,R30,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO,ERRO
